center=,0.58502,0.495755,width=,0.361952,-0.0989493
center=,0.579857,0.49567,width=,0.365863,-0.0937456
center=,0.573493,0.502952,width=,0.351919,-0.0970249
center=,0.57269,0.504743,width=,0.363574,-0.10933
center=,0.560925,0.517375,width=,0.346493,-0.0981387
center=,0.527146,0.51785,width=,0.321877,-0.0994639
center=,0.530837,0.518318,width=,0.33022,-0.10105
center=,0.520069,0.517534,width=,0.341625,-0.107534
center=,0.515933,0.519543,width=,0.309201,-0.0982964
center=,0.514761,0.524132,width=,0.301146,-0.0954898
center=,0.51098,0.529646,width=,0.297581,-0.0900521
center=,0.50616,0.530224,width=,0.296807,-0.0902247
center=,0.507683,0.533748,width=,0.337856,-0.0990632
center=,0.533847,0.53878,width=,0.359611,-0.107771
center=,0.561191,0.536153,width=,0.382226,-0.101821
center=,0.545002,0.500791,width=,0.331126,-0.100964
center=,0.531744,0.491462,width=,0.323423,-0.0934931
center=,0.487915,0.506963,width=,0.260834,-0.0891564
center=,0.48183,0.524494,width=,0.256184,-0.0889405
center=,0.601358,0.516399,width=,0.298272,-0.0888842
center=,0.610057,0.511491,width=,0.313868,-0.0949419
