3456.44457,8201.40243,252.0
3456.44455,8201.40251,252.3
3456.44454,8201.40255,252.4
3456.44453,8201.40252,252.5
3456.44449,8201.4025,252.6
3456.4445,8201.40255,252.4
3456.44451,8201.40253,252.3
3456.44454,8201.40257,252.0
3456.44454,8201.40249,251.9
3456.44457,8201.40248,251.7
3456.44456,8201.40244,252.0
3456.44459,8201.40241,251.9
3456.44465,8201.40239,251.7
3456.44468,8201.40242,251.4
3456.44463,8201.4023,251.4
3456.4446,8201.40221,251.3
3456.44461,8201.40222,251.0
3456.44461,8201.40219,250.8
3456.4446,8201.40218,250.7
3456.44462,8201.40217,250.5
3456.4446,8201.4021,250.6
3456.44442,8201.4018,251.4
3456.44437,8201.40174,251.2
3456.44431,8201.40168,251.0
3456.44427,8201.40154,251.0
3456.44426,8201.40147,250.8
3456.44425,8201.40143,250.7
3456.44418,8201.40133,251.1
3456.44408,8201.40124,251.7
3456.44405,8201.40115,252.1
3456.44399,8201.40096,252.2
3456.44391,8201.40077,252.6
3456.44382,8201.40067,252.9
3456.4439,8201.4007,252.1
3456.4439,8201.40061,252.0
3456.44391,8201.40056,251.9
3456.44399,8201.40061,251.5
3456.44402,8201.40064,251.2
3456.44399,8201.40059,251.4
3456.44403,8201.40054,251.0
3456.44406,8201.40047,250.8
3456.44407,8201.4005,250.7
3456.44409,8201.40042,251.0
3456.44415,8201.40036,250.8
3456.44416,8201.40035,250.9
3456.4442,8201.4004,250.9
3456.44419,8201.4004,251.1
3456.44422,8201.40039,250.9
3456.44424,8201.40037,250.8
3456.44429,8201.40041,250.5
3456.44433,8201.40045,250.1
3456.44433,8201.40034,250.1
3456.44434,8201.40022,249.8
3456.44435,8201.40018,249.5
3456.4444,8201.40021,249.1
3456.44447,8201.40021,248.6
3456.44449,8201.40023,248.6
3456.44454,8201.40034,248.4
3456.44454,8201.40039,248.6
3456.44455,8201.40049,248.4
3456.44459,8201.40052,248.2
3456.44464,8201.40056,247.6
3456.44463,8201.40058,247.2
3456.44461,8201.40058,247.2
3456.44466,8201.40065,246.6
3456.44472,8201.40076,245.9
3456.44473,8201.40084,245.5
3456.44484,8201.40088,244.3
3456.44481,8201.40091,244.2
3456.44481,8201.40086,243.8
