3456.44427,8201.40113,252.0
3456.4443,8201.40118,252.1
3456.44431,8201.40121,252.2
3456.44437,8201.40124,252.2
3456.44433,8201.40122,252.2
3456.44428,8201.40122,252.3
3456.44427,8201.40125,252.4
3456.44426,8201.40129,252.4
3456.44429,8201.40134,252.4
3456.44432,8201.40139,252.4
3456.4444,8201.40147,252.4
3456.44442,8201.40151,252.3
3456.44443,8201.40157,252.5
3456.44447,8201.40163,252.6
3456.4445,8201.40169,252.6
3456.44452,8201.40174,252.7
3456.44451,8201.40177,252.8
3456.4445,8201.40179,252.9
3456.44459,8201.40183,253.0
3456.44464,8201.4019,253.2
